destination_id,state_name,district_name,destination_name,lat,lon,total_rooms,daily_demand_peak,cc_accommodation,cc_transport,cc_attraction,cc_water_waste,cc_ecology,cc_social,binding_constraint,sustainable_capacity,continuous_pressure,excess_demand_daily,capacity_gap,poverty_rate,mean_household_income,median_household_income,latest_aor_pct,arch_heritage,arch_nature,arch_beach,arch_food,arch_urban,poi_tags,transit_mode,pbt_name
DST_001,Johor,Johor Bahru,Johor Bahru,1.4927,103.7414,8635,13567,13989,11397,17638,19673,31205,21030,Transport / Roadway Gridlock,11397,1.19,2171,-0.19,2.5,9484,7712,50.0,0.054,0.058,0.058,0.658,0.958,attraction | cinemas | community_mall | department_store | dining | dining_hub | family_entertainment | family_shopping | food_court | high_end_dining | hotel_resort | ice_skating | ikea_connected | indoor_climbing | luxury_retail | megamall | night_market | resort_hotel | retail | retail_center | rooftop_park | shopping_mall | skatepark | theme_park | urban_center | water_park,Federal Road & Express Coach,Majlis Bandaraya Johor Bahru (MBJB) / Majlis Bandaraya Iskandar Puteri (MBIP) / Majlis Bandaraya Pasir Gudang (MBPG)
DST_002,Johor,Batu Pahat,Batu Pahat,1.8494,102.9288,4069,5692,6592,7684,7399,8253,13091,8822,Accommodation Inventory,6592,0.863,0,0.137,2.5,9484,7712,50.0,0.1,0.05,0.05,0.6,0.88,cinema | dining | district_hub | retail | shopping_mall,Federal Road & Express Coach,Majlis Perbandaran Batu Pahat (MPBP)
DST_003,Johor,Muar,Muar,2.0394,102.5694,5691,8508,9219,11486,11060,12337,19569,13187,Accommodation Inventory,9219,0.923,0,0.077,2.5,9484,7712,50.0,0.88,0.3,0.45,0.95,0.65,heritage_food | mee_bandung | otak_otak | pre_war_shophouses | royal_town | tanjung_emas_waterfront,Federal Road & Express Coach,Majlis Perbandaran Muar (MPM)
DST_004,Johor,Kota Tinggi,Kota Tinggi,1.7336,103.8992,3643,4660,5902,6291,6058,6757,10718,7223,Accommodation Inventory,5902,0.79,0,0.21,2.5,9484,7712,50.0,0.11,0.546,0.837,0.378,0.312,beach | beach_resort | coastal | coastal_walk | eco_nature | family_recreation | firefly_cruise | fisherman_museum | golf_course | luxury_hotel | mangrove | nature_resort | night_safari | river_cascade | river_tour | rock_formations | sandy_beach | seafood | swimming | water_sports | waterfall | waterpark,Federal Road & Express Coach,Majlis Daerah Kota Tinggi (MDKT) / Majlis Perbandaran Pengerang (MPPengerang)
DST_005,Johor,Segamat,Segamat,2.5146,102.8158,1759,1838,2850,2482,2390,2665,4228,2849,Attraction Core Space Turnover,2390,0.769,0,0.231,2.5,9484,7712,50.0,0.3,0.85,0.05,0.8,0.4,agritourism | bekok_waterfall | durian_capital | labis_hot_springs | rainforest_streams,Federal Road & Express Coach,Majlis Perbandaran Segamat (MPSegamat) / Majlis Daerah Labis (MDLabis)
DST_006,Johor,Kluang,Kluang,2.0327,103.3242,2950,3764,4779,5082,4894,5458,8658,5835,Accommodation Inventory,4779,0.788,0,0.212,2.5,9484,7712,50.0,0.4,0.82,0.05,0.88,0.55,gunung_lambak | kluang_rail_coffee | organic_agritourism | railway_heritage | uk_farm,Federal Road & Express Coach,Majlis Perbandaran Kluang (MPKluang) / Majlis Daerah Simpang Renggam (MDSR)
DST_007,Johor,Pontian,Pontian,1.4947,103.3896,3323,4470,5383,6034,5810,6481,10280,6928,Accommodation Inventory,5383,0.83,0,0.17,2.5,9484,7712,50.0,0.35,0.9,0.8,0.88,0.4,kukup_water_village | mangrove_ramsar | seafood_stilt_dining | southernmost_asia | tanjung_piai,Federal Road & Express Coach,Majlis Perbandaran Pontian (MPPn)
DST_008,Johor,Mersing,Mersing,2.4312,103.8398,2254,2476,3651,3343,3219,3590,5695,3838,Attraction Core Space Turnover,3219,0.769,0,0.231,2.5,9484,7712,50.0,0.25,0.85,0.98,0.65,0.35,coastal_jetty | fresh_seafood | island_hopping | marine_park | pulau_rawa | tioman_gateway,Federal Road & Express Coach,Majlis Daerah Mersing (MDMersing)
DST_009,Johor,Kulai,Kulai,1.6565,103.6033,1653,1690,2678,2281,2197,2450,3886,2619,Attraction Core Space Turnover,2197,0.769,0,0.231,2.5,9484,7712,50.0,0.05,0.05,0.05,0.6,0.98,designer_brands | luxury_shopping | premium_outlet | retail_therapy,Federal Road & Express Coach,Majlis Perbandaran Kulai (MPKulai)
DST_010,Johor,Tangkak,Tangkak,2.2673,102.5453,1514,1479,2453,1996,1922,2144,3401,2292,Attraction Core Space Turnover,1922,0.769,0,0.231,2.5,9484,7712,50.0,0.2,0.95,0.05,0.2,0.1,eco_nature | mountain_hiking | national_park | rainforest | waterfall,Federal Road & Express Coach,Majlis Daerah Tangkak (MDTangkak)
