state,year,domestic_visitors_000
Johor,2017,13141
Kedah,2017,13305
Kelantan,2017,9624
Melaka,2017,12625
Negeri Sembilan,2017,10822
Pahang,2017,16491
Pulau Pinang,2017,12643
Perak,2017,20110
Perlis,2017,1414
Selangor,2017,25491
Terengganu,2017,12979
Sabah,2017,17792
Sarawak,2017,17670
W.P. Kuala Lumpur,2017,19049
W.P. Labuan,2017,381
W.P. Putrajaya,2017,1872
Johor,2018,13487
Kedah,2018,14480
Kelantan,2018,9846
Melaka,2018,13123
Negeri Sembilan,2018,12802
Pahang,2018,18111
Pulau Pinang,2018,14450
Perak,2018,17553
Perlis,2018,2156
Selangor,2018,30179
Terengganu,2018,13742
Sabah,2018,20360
Sarawak,2018,19380
W.P. Kuala Lumpur,2018,19165
W.P. Labuan,2018,545
W.P. Putrajaya,2018,1892
Johor,2019,14274
Kedah,2019,14831
Kelantan,2019,10986
Melaka,2019,13979
Negeri Sembilan,2019,13303
Pahang,2019,18498
Pulau Pinang,2019,15411
Perak,2019,21070
Perlis,2019,2088
Selangor,2019,33589
Terengganu,2019,14158
Sabah,2019,22035
Sarawak,2019,19793
W.P. Kuala Lumpur,2019,22633
W.P. Labuan,2019,524
W.P. Putrajaya,2019,1949
Johor,2020,7243
Kedah,2020,10108
Kelantan,2020,6058
Melaka,2020,7275
Negeri Sembilan,2020,7918
Pahang,2020,9905
Pulau Pinang,2020,8929
Perak,2020,13173
Perlis,2020,1193
Selangor,2020,19715
Terengganu,2020,7420
Sabah,2020,10337
Sarawak,2020,9393
W.P. Kuala Lumpur,2020,12435
W.P. Labuan,2020,107
W.P. Putrajaya,2020,451
Johor,2021,3658
Kedah,2021,4023
Kelantan,2021,1921
Melaka,2021,3878
Negeri Sembilan,2021,5485
Pahang,2021,3405
Pulau Pinang,2021,5061
Perak,2021,4489
Perlis,2021,407
Selangor,2021,10212
Terengganu,2021,3719
Sabah,2021,3815
Sarawak,2021,6511
W.P. Kuala Lumpur,2021,9116
W.P. Labuan,2021,54
W.P. Putrajaya,2021,223
Johor,2022,12376
Kedah,2022,11186
Kelantan,2022,6627
Melaka,2022,11757
Negeri Sembilan,2022,11490
Pahang,2022,13189
Pulau Pinang,2022,10003
Perak,2022,14567
Perlis,2022,1669
Selangor,2022,21990
Terengganu,2022,10233
Sabah,2022,12589
Sarawak,2022,15465
W.P. Kuala Lumpur,2022,16913
W.P. Labuan,2022,244
W.P. Putrajaya,2022,1306
Johor,2023,15805
Kedah,2023,13444
Kelantan,2023,7549
Melaka,2023,15559
Negeri Sembilan,2023,14959
Pahang,2023,16456
Pulau Pinang,2023,13128
Perak,2023,17108
Perlis,2023,1951
Selangor,2023,27579
Terengganu,2023,11761
Sabah,2023,16080
Sarawak,2023,17901
W.P. Kuala Lumpur,2023,22233
W.P. Labuan,2023,331
W.P. Putrajaya,2023,1900
Johor,2024,17138
Kedah,2024,14651
Kelantan,2024,10514
Melaka,2024,19128
Negeri Sembilan,2024,17785
Pahang,2024,20174
Pulau Pinang,2024,16605
Perak,2024,21776
Perlis,2024,3225
Selangor,2024,34461
Terengganu,2024,14461
Sabah,2024,20592
Sarawak,2024,19626
W.P. Kuala Lumpur,2024,26983
W.P. Labuan,2024,450
W.P. Putrajaya,2024,2557
