year,state,rank,attraction_name
2020,Johor,1,Desaru
2020,Johor,2,Angsana Johor Bahru Mall
2020,Johor,3,Johor Premium Outlet (JPO)
2020,Johor,4,KSL City
2020,Johor,5,Air Terjun Kota Tinggi
2020,Kedah,1,Pulau Langkawi
2020,Kedah,2,Menara Alor Setar
2020,Kedah,3,Gunung Keriang
2020,Kedah,4,Aman Central Mall
2020,Kedah,5,Pekan Rabu
2020,Kelantan,1,Pasar Siti Khadijah
2020,Kelantan,2,Masjid Bandar Pasir Mas
2020,Kelantan,3,Kawasan Membeli Belah Bebas Cukai Rantau Panjang
2020,Kelantan,4,Pantai Cahaya Bulan
2020,Kelantan,5,Pasar Malam Wakaf Che Yeh
2020,Melaka,1,Melaka River Cruise
2020,Melaka,2,Pantai Pengkalan Balak
2020,Melaka,3,Muzium Adat Istadat
2020,Melaka,4,Taman Rama-Rama dan Reptilia
2020,Melaka,5,Mahkota Parade
2020,Pahang,1,Cameron Highlands
2020,Pahang,2,Bukit Panorama
2020,Pahang,3,Bukit Gambang Resort City
2020,Pahang,4,Genting Premium Outlets
2020,Pahang,5,East Cost Mall (ECM)
2020,Pulau Pinang,1,Queens Bay
2020,Pulau Pinang,2,Bukit Bendera
2020,Pulau Pinang,3,Pantai Batu Ferringhi
2020,Pulau Pinang,4,Gurney Plaza
2020,Pulau Pinang,5,Prangin Mall
2020,Perak,1,Durio Tourism Mardi
2020,Perak,2,Pantai Teluk Nipah
2020,Perak,3,Marina Island
2020,Perak,4,Ipoh Town Hall
2020,Perak,5,Air Terjun Ulu Kinta
2020,Perlis,1,Kuala Perlis
2020,Perlis,2,Arked Niaga Padang Besar
2020,Perlis,3,Tasik Timah Tasoh
2020,Perlis,4,Hutan Lipur Bukit Ayer
2020,Perlis,5,Taman Rekreasi Pengkalan Asam
2020,Selangor,1,The Curve
2020,Selangor,2,Sunway Pyramid Shopping Mall
2020,Selangor,3,Zoo Negara
2020,Selangor,4,Pantai Morib
2020,Selangor,5,One Utama Shopping Centre
2020,Terengganu,1,Pantai Batu Buruk
2020,Terengganu,2,Pasar Besar Kedai Payang
2020,Terengganu,3,Drawbridge
2020,Terengganu,4,KTCC Mall
2020,Terengganu,5,Pantai Teluk Lipat
2020,Sabah,1,Imago Shopping Centre
2020,Sabah,2,Suria Sabah Shopping Mall
2020,Sabah,3,Ladang Lembu Tenusu
2020,Sabah,4,Pulau Bohey Dulang
2020,Sabah,5,Sungai Melangkap
2020,Sarawak,1,Pasar Sentral Sibu
2020,Sarawak,2,Daesco Star Mega Mall
2020,Sarawak,3,Vivacity Megamall
2020,Sarawak,4,Park City Mall
2020,Sarawak,5,The Spring Mall Bintulu
2020,W.P. Kuala Lumpur,1,Mid Valley
2020,W.P. Kuala Lumpur,2,Kuala Lumpur City Centre (KLCC)
2020,W.P. Kuala Lumpur,3,Pavillion
2020,W.P. Kuala Lumpur,4,SOGO
2020,W.P. Kuala Lumpur,5,Sunway Putra Mall
2020,W.P. Labuan,1,Pantai Pohon Batu
2020,W.P. Labuan,2,Taman Burung Labuan
2020,W.P. Labuan,3,Memorial Perang Dunia Kedua
2020,W.P. Labuan,4,Pantai Pancur Hitam
2020,W.P. Labuan,5,Kg. Patau-Patau
2020,W.P. Putrajaya,1,Alamanda
