year,state,rank,district_name
2020,Johor,1,Johor Bahru
2020,Johor,2,Kota Tinggi
2020,Johor,3,Batu Pahat
2020,Johor,4,Pontian
2020,Johor,5,Mersing
2020,Kedah,1,Kota Setar
2020,Kedah,2,Langkawi
2020,Kedah,3,Pokok Sena
2020,Kedah,4,Pendang
2020,Kedah,5,Kubang Pasu
2020,Kelantan,1,Kota Bharu
2020,Kelantan,2,Pasir Mas
2020,Kelantan,3,Tanah Merah
2020,Kelantan,4,Gua Musang
2020,Kelantan,5,Pasir Puteh
2020,Melaka,1,Melaka Tengah
2020,Melaka,2,Alor Gajah
2020,Melaka,3,Jasin
2020,Pahang,1,Kuantan
2020,Pahang,2,Cameron Highlands
2020,Pahang,3,Bentong
2020,Pahang,4,Rompin
2020,Pahang,5,Jerantut
2020,Pulau Pinang,1,Timur Laut
2020,Pulau Pinang,2,Barat Daya
2020,Pulau Pinang,3,Seberang Perai Utara
2020,Pulau Pinang,4,Seberang Perai Selatan
2020,Pulau Pinang,5,Seberang Perai Tengah
2020,Perak,1,Larut & Matang
2020,Perak,2,Kinta
2020,Perak,3,Manjung
2020,Perak,4,Kuala Kangsar
2020,Perak,5,Kerian
2020,Selangor,1,Petaling
2020,Selangor,2,Klang
2020,Selangor,3,Hulu Langat
2020,Selangor,4,Gombak
2020,Selangor,5,Kuala Langat
2020,Terengganu,1,Kuala Terengganu
2020,Terengganu,2,Kemaman
2020,Terengganu,3,Dungun
2020,Terengganu,4,Kuala Nerus
2020,Terengganu,5,Marang
2020,Sabah,1,Kota Kinabalu
2020,Sabah,2,Keningau
2020,Sabah,3,Tawau
2020,Sabah,4,Lahad Datu
2020,Sabah,5,Semporna
2020,Sarawak,1,Kuching
2020,Sarawak,2,Sibu
2020,Sarawak,3,Bintulu
2020,Sarawak,4,Miri
2020,Sarawak,5,Serian
2021,Johor,1,Johor Bahru
2021,Johor,2,Kota Tinggi
2021,Johor,3,Muar
2021,Johor,4,Kluang
2021,Johor,5,Batu Pahat
2021,Kedah,1,Langkawi
2021,Kedah,2,Kuala Muda
2021,Kedah,3,Kulim
2021,Kedah,4,Kota Setar
2021,Kedah,5,Kubang Pasu
2021,Kelantan,1,Kota Bharu
2021,Kelantan,2,Bachok
2021,Kelantan,3,Pasir Mas
2021,Kelantan,4,Machang
2021,Kelantan,5,Gua Musang
2021,Melaka,1,Melaka Tengah
2021,Melaka,2,Alor Gajah
2021,Melaka,3,Jasin
2021,Pahang,1,Kuantan
2021,Pahang,2,Bentong
2021,Pahang,3,Cameron Highlands
2021,Pahang,4,Temerloh
2021,Pahang,5,Lipis
2021,Pulau Pinang,1,Timur Laut
2021,Pulau Pinang,2,Barat Daya
2021,Pulau Pinang,3,Seberang Perai Tengah
2021,Pulau Pinang,4,Seberang Perai Utara
2021,Pulau Pinang,5,Seberang Perai Selatan
2021,Perak,1,Larut & Matang
2021,Perak,2,Kinta
2021,Perak,3,Manjung
2021,Perak,4,Hilir Perak
2021,Perak,5,Kuala Kangsar
2021,Selangor,1,Petaling
2021,Selangor,2,Hulu Langat
2021,Selangor,3,Klang
2021,Selangor,4,Gombak
2021,Selangor,5,Sepang
2021,Terengganu,1,Kuala Terengganu
2021,Terengganu,2,Dungun
2021,Terengganu,3,Kemaman
2021,Terengganu,4,Besut
2021,Terengganu,5,Kuala Nerus
2021,Sabah,1,Kota Kinabalu
2021,Sabah,2,Tawau
2021,Sabah,3,Ranau
2021,Sabah,4,Semporna
2021,Sabah,5,Lahad Datu
2021,Sarawak,1,Bintulu
2021,Sarawak,2,Sibu
2021,Sarawak,3,Kuching
2021,Sarawak,4,Miri
2021,Sarawak,5,Mukah
2022,Johor,1,Johor Bahru
2022,Johor,2,Batu Pahat
2022,Johor,3,Kota Tinggi
2022,Johor,4,Muar
2022,Johor,5,Mersing
2022,Kedah,1,Kota Setar
2022,Kedah,2,Langkawi
2022,Kedah,3,Baling
2022,Kedah,4,Kuala Muda
2022,Kedah,5,Kulim
2022,Kelantan,1,Kota Bharu
2022,Kelantan,2,Bachok
2022,Kelantan,3,Pasir Mas
2022,Kelantan,4,Pasir Puteh
2022,Kelantan,5,Gua Musang
2022,Melaka,1,Melaka Tengah
2022,Melaka,2,Alor Gajah
2022,Melaka,3,Jasin
2022,Pahang,1,Kuantan
2022,Pahang,2,Cameron Highlands
2022,Pahang,3,Bentong
2022,Pahang,4,Temerloh
2022,Pahang,5,Maran
2022,Pulau Pinang,1,Timur Laut
2022,Pulau Pinang,2,Barat Daya
2022,Pulau Pinang,3,Seberang Perai Tengah
2022,Pulau Pinang,4,Seberang Perai Utara
2022,Pulau Pinang,5,Seberang Perai Selatan
2022,Perak,1,Kinta
2022,Perak,2,Larut & Matang
2022,Perak,3,Manjung
2022,Perak,4,Batang Padang
2022,Perak,5,Hilir Perak
2022,Selangor,1,Petaling
2022,Selangor,2,Hulu Langat
2022,Selangor,3,Gombak
2022,Selangor,4,Klang
2022,Selangor,5,Sepang
2022,Terengganu,1,Kuala Terengganu
2022,Terengganu,2,Kemaman
2022,Terengganu,3,Kuala Nerus
2022,Terengganu,4,Dungun
2022,Terengganu,5,Marang
2022,Sabah,1,Kota Kinabalu
2022,Sabah,2,Tawau
2022,Sabah,3,Ranau
2022,Sabah,4,Lahad Datu
2022,Sabah,5,Sandakan
2022,Sarawak,1,Kuching
2022,Sarawak,2,Sibu
2022,Sarawak,3,Miri
2022,Sarawak,4,Bintulu
2022,Sarawak,5,Sri Aman
2023,Johor,1,Johor Bahru
2023,Johor,2,Batu Pahat
2023,Johor,3,Kota Tinggi
2023,Johor,4,Muar
2023,Johor,5,Mersing
2023,Kedah,1,Kota Setar
2023,Kedah,2,Langkawi
2023,Kedah,3,Baling
2023,Kedah,4,Kuala Muda
2023,Kedah,5,Kulim
2023,Kelantan,1,Kota Bharu
2023,Kelantan,2,Bachok
2023,Kelantan,3,Pasir Mas
2023,Kelantan,4,Machang
2023,Kelantan,5,Pasir Puteh
