year,component,expenditure_rm_million,share_pct
2020,Membeli-belah,39033366.0,21267378.4443566
2020,Pembelian bahan api kenderaan,15498476.0,3627165.77675242
2020,Pengangkutan,6384521.0,2506281.25954621
2020,Makanan & minuman,14702436.0,7497359.07832333
2020,Penginapan,8625689.0,2087862.57101796
2020,Perbelanjaan sebelum perjalanan/,3207952.0,463256.671048
2020,Aktiviti-aktiviti lain,5185719.0,1185343.1752925
2021,Membeli-belah,21267378.4443566,9263896.6612668
2021,Pembelian bahan api kenderaan,3627165.77675242,2038769.512476
2021,Pengangkutan,2506281.25954621,888914.6138994
2021,Makanan & minuman,7497359.07832333,2783167.93248659
2021,Penginapan,2087862.57101796,1087369.567383
2021,Perbelanjaan sebelum perjalanan/,463256.671048,862363.848231
2021,Aktiviti-aktiviti lain,1185343.1752925,526497.814315
2022,Membeli-belah,9263896.6612668,24939201.3407866
2022,Pembelian bahan api kenderaan,2038769.512476,8839688.04921651
2022,Pengangkutan,888914.6138994,4816659.26588937
2022,Makanan & minuman,2783167.93248659,9725150.44973167
2022,Penginapan,1087369.567383,5956517.09911915
2022,Perbelanjaan sebelum perjalanan/,862363.848231,2344749.94045054
2022,Aktiviti-aktiviti lain,526497.814315,2594989.7262335
2023,Membeli-belah,24939201.3407866,30842715.0
2023,Pembelian bahan api kenderaan,8839688.04921651,11226727.0
2023,Pengangkutan,4816659.26588937,5691081.0
2023,Makanan & minuman,9725150.44973167,13802774.0
2023,Penginapan,5956517.09911915,10653466.0
2023,Perbelanjaan sebelum perjalanan/,2344749.94045054,3126434.0
2023,Aktiviti-aktiviti lain,2594989.7262335,3333225.0
2024,Membeli-belah,30842715.0,39910477.0223009
2024,Pembelian bahan api kenderaan,11226727.0,13507889.705934
2024,Pengangkutan,5691081.0,7187187.29608785
2024,Makanan & minuman,13802774.0,17342497.8168969
2024,Penginapan,10653466.0,11914438.7800169
2024,Perbelanjaan sebelum perjalanan/,3126434.0,4147411.12120658
2024,Aktiviti-aktiviti lain,3333225.0,4436326.75234234
2025,Membeli-belah,39910477.0223009,44785087.5113
2025,Pembelian Bahan Api Kenderaan,13507889.705934,16407252.805668
2025,Pengangkutan,7187187.29608785,8686687.211087
2025,Makanan & Minuman,17342497.8168969,19541197.41889
2025,Penginapan,11914438.7800169,13018436.65011
2025,Perbelanjaan Sebelum Perjalanan/,4147411.12120658,4746119.52120658
2025,Aktiviti-aktiviti Lain,4436326.75234234,4895959.36893333
