year,origin_state,destination_state,tourists_thousands
2020,Johor,Johor,1888.928
2020,Johor,Kedah,35.725
2020,Johor,Kelantan,97.664
2020,Johor,Melaka,293.963
2020,Johor,Negeri Sembilan,287.998
2020,Johor,Pahang,227.567
2020,Johor,Pulau Pinang,25.952
2020,Johor,Perak,296.114
2020,Johor,Perlis,2.099
2020,Johor,Selangor,246.262
2020,Johor,Terengganu,100.63
2020,Johor,Sabah,11.884
2020,Johor,Sarawak,11.118
2020,Johor,W.P. Kuala Lumpur,324.568
2020,Johor,W.P. Labuan,0.0
2020,Johor,W.P. Putrajaya,7.744
2020,Kedah,Johor,78.109
2020,Kedah,Kedah,1209.468
2020,Kedah,Kelantan,47.307
2020,Kedah,Melaka,68.119
2020,Kedah,Negeri Sembilan,26.849
2020,Kedah,Pahang,187.328
2020,Kedah,Pulau Pinang,236.537
2020,Kedah,Perak,152.174
2020,Kedah,Perlis,96.094
2020,Kedah,Selangor,141.841
2020,Kedah,Terengganu,38.562
2020,Kedah,Sabah,13.604
2020,Kedah,Sarawak,54.316
2020,Kedah,W.P. Kuala Lumpur,174.984
2020,Kedah,W.P. Labuan,0.0
2020,Kedah,W.P. Putrajaya,4.938
2020,Kelantan,Johor,47.864
2020,Kelantan,Kedah,10.747
2020,Kelantan,Kelantan,1267.487
2020,Kelantan,Melaka,23.911
2020,Kelantan,Negeri Sembilan,20.503
2020,Kelantan,Pahang,255.283
2020,Kelantan,Pulau Pinang,61.503
2020,Kelantan,Perak,66.116
2020,Kelantan,Perlis,4.101
2020,Kelantan,Selangor,189.477
2020,Kelantan,Terengganu,192.683
2020,Kelantan,Sabah,25.455
2020,Kelantan,Sarawak,5.724
2020,Kelantan,W.P. Kuala Lumpur,220.114
2020,Kelantan,W.P. Labuan,1.82
2020,Kelantan,W.P. Putrajaya,15.839
2020,Melaka,Johor,273.747
2020,Melaka,Kedah,70.996
2020,Melaka,Kelantan,21.686
2020,Melaka,Melaka,535.869
2020,Melaka,Negeri Sembilan,205.079
2020,Melaka,Pahang,153.343
2020,Melaka,Pulau Pinang,17.367
2020,Melaka,Perak,88.124
2020,Melaka,Perlis,14.723
2020,Melaka,Selangor,129.431
2020,Melaka,Terengganu,32.964
2020,Melaka,Sabah,13.967
2020,Melaka,Sarawak,16.617
2020,Melaka,W.P. Kuala Lumpur,177.028
2020,Melaka,W.P. Labuan,0.0
2020,Melaka,W.P. Putrajaya,7.861
2020,Negeri Sembilan,Johor,338.342
2020,Negeri Sembilan,Kedah,129.125
2020,Negeri Sembilan,Kelantan,68.162
2020,Negeri Sembilan,Melaka,273.768
2020,Negeri Sembilan,Negeri Sembilan,650.357
2020,Negeri Sembilan,Pahang,242.977
2020,Negeri Sembilan,Pulau Pinang,123.344
2020,Negeri Sembilan,Perak,281.974
2020,Negeri Sembilan,Perlis,80.718
2020,Negeri Sembilan,Selangor,243.391
2020,Negeri Sembilan,Terengganu,130.737
2020,Negeri Sembilan,Sabah,8.803
2020,Negeri Sembilan,Sarawak,12.579
2020,Negeri Sembilan,W.P. Kuala Lumpur,311.064
2020,Negeri Sembilan,W.P. Labuan,0.0
2020,Negeri Sembilan,W.P. Putrajaya,23.007
2020,Pahang,Johor,114.945
2020,Pahang,Kedah,103.229
2020,Pahang,Kelantan,284.572
2020,Pahang,Melaka,121.544
2020,Pahang,Negeri Sembilan,83.044
2020,Pahang,Pahang,1682.818
2020,Pahang,Pulau Pinang,52.308
2020,Pahang,Perak,256.456
2020,Pahang,Perlis,11.127
2020,Pahang,Selangor,133.212
2020,Pahang,Terengganu,429.341
2020,Pahang,Sabah,6.176
2020,Pahang,Sarawak,1.282
2020,Pahang,W.P. Kuala Lumpur,354.39
2020,Pahang,W.P. Labuan,0.0
2020,Pahang,W.P. Putrajaya,9.675
2020,Pulau Pinang,Johor,17.216
2020,Pulau Pinang,Kedah,488.321
2020,Pulau Pinang,Kelantan,50.986
2020,Pulau Pinang,Melaka,9.866
2020,Pulau Pinang,Negeri Sembilan,17.829
2020,Pulau Pinang,Pahang,58.352
2020,Pulau Pinang,Pulau Pinang,747.09
2020,Pulau Pinang,Perak,319.099
