state,rank,attraction_name
Johor,1,Toppen Shopping Centre
Johor,2,Paradigm Mall Johor Bahru
Johor,3,Pantai Desaru
Johor,4,"The Mall, Mid Valley Southkey"
Johor,5,Johor Premium Outlet
Kedah,1,Aman Central Mall
Kedah,2,Pantai Tanjung Dawai
Kedah,3,Pantai Merdeka
Kedah,4,Pantai Cenang
Kedah,5,Gunung Jerai
Kelantan,1,AEON Lembah Sireh
Kelantan,2,Pasar Siti Khadijah
Kelantan,3,KB Mall
Kelantan,4,Pantai Tapang
Kelantan,5,Pantai Melawi
Melaka,1,AEON MALL Bandaraya Melaka
Melaka,2,Dataran Pahlawan Melaka Megamall
Melaka,3,Pantai Klebang
Melaka,4,Freeport A' Famosa Outlet
Melaka,5,Jonker Walk
Pahang,1,Genting Highlands
Pahang,2,Cameron Highlands
Pahang,3,East Cost Mall
Pahang,4,Pantai Teluk Cempedak
Pahang,5,Kuantan City Mall
Pulau Pinang,1,Sunway Carnival Mall
Pulau Pinang,2,Queensbay Mall
Pulau Pinang,3,Gurney Plaza
Pulau Pinang,4,Pantai Teluk Bahang
Pulau Pinang,5,Kek Lok Si Temple
Perak,1,Ipoh Parade Shopping Centre
Perak,2,Teluk Batik
Perak,3,Concubine Lane
Perak,4,Ipoh Night Market
Perak,5,Bazar Karat Ipoh
Perlis,1,Arked Niaga Padang Besar
Perlis,2,Wang Kelian View Point
Perlis,3,Taman Eko-Rimba Bukit Ayer
Perlis,4,Padang Waremart
Perlis,5,Medan Ikan Bakar Kuala Perlis
Selangor,1,IOI City Mall
Selangor,2,1 Utama Shopping Centre
Selangor,3,Sunway Pyramid
Selangor,4,Ikea Damansara
Selangor,5,Setia City Mall
Terengganu,1,KTCC Mall
Terengganu,2,Pasar Besar Kedai Payang
Terengganu,3,Pantai Penarik
Terengganu,4,Pantai Teluk Ketapang
Terengganu,5,Pantai Batu Buruk
Sabah,1,Imago Shopping Mall
Sabah,2,Pekan Nabalu
Sabah,3,Pantai Tanjung Aru
Sabah,4,Pulau Mabul
Sabah,5,Sungai Melangkap
Sarawak,1,Kuching Waterfront
Sarawak,2,Daesco Star Mega Mall
Sarawak,3,Pasar Sentral Sibu
Sarawak,4,The Spring Mall Bintulu
Sarawak,5,Vivacity Megamall
W.P. Kuala Lumpur,1,Pavilion Kuala Lumpur
W.P. Kuala Lumpur,2,SOGO
W.P. Kuala Lumpur,3,Mid Valley Megamall
W.P. Kuala Lumpur,4,Berjaya Times Square
W.P. Kuala Lumpur,5,Axiata Arena Bukit Jalil
W.P. Labuan,1,Kompleks Sukan Laut Antarabangsa Labuan
W.P. Labuan,2,Dataran Labuan
W.P. Labuan,3,Kampung Patau-Patau
W.P. Labuan,4,Memorial Perang Dunia Kedua
W.P. Labuan,5,Pantai Pohon Batu
W.P. Putrajaya,1,Dataran Putrajaya
W.P. Putrajaya,2,Alamanda Shopping Centre
W.P. Putrajaya,3,Masjid Putra
W.P. Putrajaya,4,Cruise Tasik Putrajaya
W.P. Putrajaya,5,Taman Saujana Hijau
