state,rank,district_name
Johor,1,Johor Bahru
Johor,2,Batu Pahat
Johor,3,Muar
Johor,4,Kota Tinggi
Johor,5,Segamat
Kedah,1,Kota Setar
Kedah,2,Langkawi
Kedah,3,Kuala Muda
Kedah,4,Baling
Kedah,5,Kulim
Kelantan,1,Kota Bharu
Kelantan,2,Bachok
Kelantan,3,Pasir Mas
Kelantan,4,Pasir Puteh
Kelantan,5,Tanah Merah
Melaka,1,Melaka Tengah
Melaka,2,Alor Gajah
Melaka,3,Jasin
Pahang,1,Kuantan
Pahang,2,Bentong
Pahang,3,Cameron Highlands
Pahang,4,Rompin
Pahang,5,Temerloh
Pulau Pinang,1,Timur Laut
Pulau Pinang,2,Barat Daya
Pulau Pinang,3,Seberang Perai Tengah
Pulau Pinang,4,Seberang Perai Utara
Pulau Pinang,5,Seberang Perai Selatan
Perak,1,Kinta
Perak,2,Larut & Matang
Perak,3,Manjung
Perak,4,Kuala Kangsar
Perak,5,Batang Padang
Selangor,1,Petaling
Selangor,2,Sepang
Selangor,3,Gombak
Selangor,4,Kuala Selangor
Selangor,5,Hulu Langat
Terengganu,1,Kuala Terengganu
Terengganu,2,Kuala Nerus
Terengganu,3,Kemaman
Terengganu,4,Besut
Terengganu,5,Dungun
Sabah,1,Kota Kinabalu
Sabah,2,Ranau
Sabah,3,Tawau
Sabah,4,Sandakan
Sabah,5,Keningau
Sarawak,1,Kuching
Sarawak,2,Sibu
Sarawak,3,Bintulu
Sarawak,4,Miri
Sarawak,5,Sri Aman
