year,market,spending_category,value_rm_million,percentage_share
2024,Australia,Accommodation,664.598,26.71
2024,Australia,All spending categories,2488.2,100.0
2024,Australia,Domestic Airfares,33.342,1.34
2024,Australia,Entertainment,157.005,6.31
2024,Australia,Food & Beverages,348.597,14.01
2024,Australia,Fuel,1.244,0.05
2024,Australia,International Airfares,319.734,12.85
2024,Australia,Local Transportation,139.09,5.59
2024,Australia,Medical,2.488,0.1
2024,Australia,Organised Tour,355.315,14.28
2024,Australia,Others,2.488,0.1
2024,Australia,Shopping,462.059,18.57
2024,Australia,Sports,2.488,0.1
2024,Belgium,Accommodation,45.556,33.8
2024,Belgium,All spending categories,134.78,100.0
2024,Belgium,Domestic Airfares,4.111,3.05
2024,Belgium,Entertainment,6.24,4.63
2024,Belgium,Food & Beverages,19.651,14.58
2024,Belgium,Fuel,0.054,0.04
2024,Belgium,International Airfares,11.685,8.67
2024,Belgium,Local Transportation,8.127,6.03
2024,Belgium,Medical,0.067,0.05
2024,Belgium,Organised Tour,14.341,10.64
2024,Belgium,Others,0.0,0.0
2024,Belgium,Shopping,24.867,18.45
2024,Belgium,Sports,0.054,0.04
2024,Brunei Darussalam,Accommodation,544.144,16.82
2024,Brunei Darussalam,All spending categories,3235.1,100.0
2024,Brunei Darussalam,Domestic Airfares,37.851,1.17
2024,Brunei Darussalam,Entertainment,189.9,5.87
2024,Brunei Darussalam,Food & Beverages,529.262,16.36
2024,Brunei Darussalam,Fuel,18.117,0.56
2024,Brunei Darussalam,International Airfares,32.998,1.02
2024,Brunei Darussalam,Local Transportation,167.255,5.17
2024,Brunei Darussalam,Medical,14.881,0.46
2024,Brunei Darussalam,Organised Tour,45.938,1.42
2024,Brunei Darussalam,Others,35.263,1.09
2024,Brunei Darussalam,Shopping,1595.228,49.31
2024,Brunei Darussalam,Sports,24.263,0.75
2024,Canada,Accommodation,129.427,24.64
2024,Canada,All spending categories,525.27,100.0
2024,Canada,Domestic Airfares,14.497,2.76
2024,Canada,Entertainment,36.401,6.93
2024,Canada,Food & Beverages,84.884,16.16
2024,Canada,Fuel,0.053,0.01
2024,Canada,International Airfares,53.893,10.26
2024,Canada,Local Transportation,37.452,7.13
2024,Canada,Medical,1.628,0.31
2024,Canada,Organised Tour,74.693,14.22
2024,Canada,Others,0.525,0.1
2024,Canada,Shopping,91.607,17.44
2024,Canada,Sports,0.21,0.04
2024,China,Accommodation,3537.465,16.95
2024,China,All spending categories,20870.0,100.0
2024,China,Domestic Airfares,292.18,1.4
2024,China,Entertainment,1045.587,5.01
2024,China,Food & Beverages,2917.626,13.98
2024,China,Fuel,14.609,0.07
2024,China,International Airfares,3908.951,18.73
2024,China,Local Transportation,1108.197,5.31
2024,China,Medical,48.001,0.23
2024,China,Organised Tour,2404.224,11.52
2024,China,Others,37.566,0.18
2024,China,Shopping,5545.159,26.57
2024,China,Sports,12.522,0.06
2024,Chinese Taipei,Accommodation,242.123,10.37
2024,Chinese Taipei,All spending categories,2334.84,100.0
2024,Chinese Taipei,Domestic Airfares,17.044,0.73
2024,Chinese Taipei,Entertainment,199.162,8.53
2024,Chinese Taipei,Food & Beverages,397.857,17.04
2024,Chinese Taipei,Fuel,8.639,0.37
2024,Chinese Taipei,International Airfares,238.154,10.2
2024,Chinese Taipei,Local Transportation,106.235,4.55
2024,Chinese Taipei,Medical,1.868,0.08
2024,Chinese Taipei,Organised Tour,187.254,8.02
2024,Chinese Taipei,Others,0.233,0.01
2024,Chinese Taipei,Shopping,935.57,40.07
2024,Chinese Taipei,Sports,0.7,0.03
2024,Denmark,Accommodation,33.191,30.71
2024,Denmark,All spending categories,108.08,100.0
2024,Denmark,Domestic Airfares,0.519,0.48
2024,Denmark,Entertainment,6.798,6.29
2024,Denmark,Food & Beverages,20.233,18.72
2024,Denmark,Fuel,0.195,0.18
2024,Denmark,International Airfares,6.723,6.22
2024,Denmark,Local Transportation,7.263,6.72
2024,Denmark,Medical,0.043,0.04
