holiday_name,holiday_date,notes
Chinese New Year 2025,2025-01-29,Lunar new year; Feb school break shoulder
Hari Raya Aidilfitri 2025,2025-03-31,End-Ramadan exodus; Apr peak
Wesak Day 2025,2025-05-12,May long-weekend cluster
Merdeka 2025,2025-08-31,National Day; Aug school break
Malaysia Day 2025,2025-09-16,Sep golden week
Deepavali 2025,2025-10-20,Oct shoulder; Nov trough after
Christmas 2025,2025-12-25,Year-end mega peak
New Year 2026,2026-01-01,Jan pre-CNY travel
Chinese New Year 2026,2026-02-17,Feb festive surge
Hari Raya Aidilfitri 2026,2026-03-20,Mar Ramadan transition; Apr exodus
Wesak Day 2026,2026-05-01,May long-weekend cluster
Merdeka 2026,2026-08-31,Merdeka week school holidays
Malaysia Day 2026,2026-09-16,Sep golden travel week
Deepavali 2026,2026-11-08,Nov off-peak buffer
Christmas 2026,2026-12-25,Visit Malaysia 2026 year-end peak
