year,month,rank,state
2023,January,1,SELANGOR
2023,January,2,JOHOR
2023,January,3,SABAH
2023,January,4,WP KUALA LUMPUR
2023,January,5,PERAK
2023,February,1,SELANGOR
2023,February,2,WP KUALA LUMPUR
2023,February,3,JOHOR
2023,February,4,SABAH
2023,February,5,PUTRAJAYA
2023,March,1,WP KUALA LUMPUR
2023,March,2,JOHOR
2023,March,3,SELANGOR
2023,March,4,SABAH
2023,April,1,WP KUALA LUMPUR
2023,April,2,SELANGOR
2023,April,3,PUTRAJAYA
2023,April,4,JOHOR
2023,April,5,KEDAH
2023,May,1,WP KUALA LUMPUR
2023,May,2,SELANGOR
2023,May,3,JOHOR
2023,May,4,PUTRAJAYA
2023,May,5,KEDAH
2023,June,1,WP KUALA LUMPUR
2023,June,2,SELANGOR
2023,June,3,PUTRAJAYA
2023,June,4,JOHOR
2023,July,1,WP KUALA LUMPUR
2023,July,2,SELANGOR
2023,July,3,WP PUTRAJAYA
2023,July,4,JOHOR
