source_file,year,period,state,domestic_guests,foreign_guests,total_guests
hotel_guests_2017.pdf,2017,Annual,Kuala Lumpur,6715078,7264872,9436404
hotel_guests_2017.pdf,2017,Annual,Putrajaya,337901,343147,166473
hotel_guests_2017.pdf,2017,Annual,Selangor,2440004,2793468,1624265
hotel_guests_2017.pdf,2017,Annual,Perak,2325974,2466507,267517
hotel_guests_2017.pdf,2017,Annual,Kedah,2474404,2591488,1281471
hotel_guests_2017.pdf,2017,Annual,Perlis,182673,177689,6237
hotel_guests_2017.pdf,2017,Annual,Melaka,2840620,3086394,1804544
hotel_guests_2017.pdf,2017,Annual,Johor,4431801,4780989,2581983
hotel_guests_2017.pdf,2017,Annual,Pahang,7930172,8416913,2369945
hotel_guests_2017.pdf,2017,Annual,Terengganu,1516335,1621301,192530
hotel_guests_2017.pdf,2017,Annual,Kelantan,1139021,1143783,57664
hotel_guests_2017.pdf,2017,Annual,Sabah,4136390,4192579,2036610
hotel_guests_2017.pdf,2017,Annual,Labuan,539660,523031,111815
hotel_guests_2017.pdf,2017,Annual,Sarawak,4069647,4421786,599985
hotel_guests_2018.pdf,2018,Annual,Kuala Lumpur,7264872,8020019,10717479
hotel_guests_2018.pdf,2018,Annual,Putrajaya,343147,350112,177602
hotel_guests_2018.pdf,2018,Annual,Selangor,2793468,3631221,1688659
hotel_guests_2018.pdf,2018,Annual,Perak,2466507,2613616,267245
hotel_guests_2018.pdf,2018,Annual,Kedah,2591488,2661145,1407261
hotel_guests_2018.pdf,2018,Annual,Perlis,177689,177376,5943
hotel_guests_2018.pdf,2018,Annual,Melaka,3086394,3388803,1704386
hotel_guests_2018.pdf,2018,Annual,Johor,4780989,5002635,2624972
hotel_guests_2018.pdf,2018,Annual,Pahang,8416913,8956297,2563991
hotel_guests_2018.pdf,2018,Annual,Terengganu,1621301,1712595,188044
hotel_guests_2018.pdf,2018,Annual,Kelantan,1143783,1169007,57337
hotel_guests_2018.pdf,2018,Annual,Sabah,4192579,4278378,2548491
hotel_guests_2018.pdf,2018,Annual,Labuan,523031,443745,105710
hotel_guests_2018.pdf,2018,Annual,Sarawak,4421786,4398256,599812
hotel_guests_2019.pdf,2019,Annual,Kuala Lumpur,8020019,7397154,11602079
