source_file,year,period,state,hotels_count,rooms_count
hotel_inventory_2022.pdf,2022,Annual,Johor,535,34294
hotel_inventory_2022.pdf,2022,Annual,Kedah,116,5682
hotel_inventory_2022.pdf,2022,Annual,Kelantan,158,6075
hotel_inventory_2022.pdf,2022,Annual,Kuala Lumpur,423,55641
hotel_inventory_2022.pdf,2022,Annual,Labuan,47,2284
hotel_inventory_2022.pdf,2022,Annual,Melaka,350,19343
hotel_inventory_2022.pdf,2022,Annual,Negeri Sembilan,161,11129
hotel_inventory_2022.pdf,2022,Annual,Pahang,500,34183
hotel_inventory_2022.pdf,2022,Annual,Perak,488,19976
hotel_inventory_2022.pdf,2022,Annual,Perlis,41,1361
hotel_inventory_2022.pdf,2022,Annual,Pulau Pinang,362,24704
hotel_inventory_2022.pdf,2022,Annual,Putrajaya,9,1937
hotel_inventory_2022.pdf,2022,Annual,Sabah,479,25344
hotel_inventory_2022.pdf,2022,Annual,Sarawak,495,25610
hotel_inventory_2022.pdf,2022,Annual,Selangor,439,32241
hotel_inventory_2022.pdf,2022,Annual,Terengganu,253,10993
hotel_inventory_2023_Q1.pdf,2023,Q1,Johor,538,34511
hotel_inventory_2023_Q1.pdf,2023,Q1,Kedah,116,5750
hotel_inventory_2023_Q1.pdf,2023,Q1,Kelantan,158,6075
hotel_inventory_2023_Q1.pdf,2023,Q1,Kuala Lumpur,424,55893
hotel_inventory_2023_Q1.pdf,2023,Q1,Labuan,47,2284
hotel_inventory_2023_Q1.pdf,2023,Q1,Melaka,352,19686
hotel_inventory_2023_Q1.pdf,2023,Q1,Negeri Sembilan,161,11129
hotel_inventory_2023_Q1.pdf,2023,Q1,Pahang,500,34181
hotel_inventory_2023_Q1.pdf,2023,Q1,Perak,488,19976
hotel_inventory_2023_Q1.pdf,2023,Q1,Perlis,41,1361
hotel_inventory_2023_Q1.pdf,2023,Q1,Pulau Pinang,360,24490
hotel_inventory_2023_Q1.pdf,2023,Q1,Putrajaya,10,1999
hotel_inventory_2023_Q1.pdf,2023,Q1,Sabah,485,25612
hotel_inventory_2023_Q1.pdf,2023,Q1,Sarawak,515,26177
hotel_inventory_2023_Q1.pdf,2023,Q1,Selangor,439,32241
hotel_inventory_2023_Q1.pdf,2023,Q1,Terengganu,253,10993
hotel_inventory_2023_Q2.pdf,2023,Q2,Johor,538,34511
hotel_inventory_2023_Q2.pdf,2023,Q2,Kedah,320,18257
hotel_inventory_2023_Q2.pdf,2023,Q2,Kelantan,158,6075
hotel_inventory_2023_Q2.pdf,2023,Q2,Kuala Lumpur,428,56237
hotel_inventory_2023_Q2.pdf,2023,Q2,Labuan,47,2284
hotel_inventory_2023_Q2.pdf,2023,Q2,Melaka,353,19973
hotel_inventory_2023_Q2.pdf,2023,Q2,Negeri Sembilan,161,11129
hotel_inventory_2023_Q2.pdf,2023,Q2,Pahang,501,34199
hotel_inventory_2023_Q2.pdf,2023,Q2,Perak,486,19728
hotel_inventory_2023_Q2.pdf,2023,Q2,Perlis,41,1361
hotel_inventory_2023_Q2.pdf,2023,Q2,Pulau Pinang,359,24364
hotel_inventory_2023_Q2.pdf,2023,Q2,Putrajaya,10,1999
hotel_inventory_2023_Q2.pdf,2023,Q2,Sabah,487,25670
hotel_inventory_2023_Q2.pdf,2023,Q2,Sarawak,515,26206
hotel_inventory_2023_Q2.pdf,2023,Q2,Selangor,441,32825
hotel_inventory_2023_Q2.pdf,2023,Q2,Terengganu,253,10993
hotel_inventory_2023_Q3.pdf,2023,Q3,Johor,538,34603
hotel_inventory_2023_Q3.pdf,2023,Q3,Kedah,321,18073
hotel_inventory_2023_Q3.pdf,2023,Q3,Kelantan,170,6380
hotel_inventory_2023_Q3.pdf,2023,Q3,Kuala Lumpur,432,57434
hotel_inventory_2023_Q3.pdf,2023,Q3,Labuan,50,2306
hotel_inventory_2023_Q3.pdf,2023,Q3,Melaka,354,19905
hotel_inventory_2023_Q3.pdf,2023,Q3,Negeri Sembilan,161,10624
hotel_inventory_2023_Q3.pdf,2023,Q3,Pahang,502,33486
hotel_inventory_2023_Q3.pdf,2023,Q3,Perak,487,19763
hotel_inventory_2023_Q3.pdf,2023,Q3,Perlis,44,1444
hotel_inventory_2023_Q3.pdf,2023,Q3,Pulau Pinang,363,25288
hotel_inventory_2023_Q3.pdf,2023,Q3,Putrajaya,12,2508
hotel_inventory_2023_Q3.pdf,2023,Q3,Sabah,488,25565
hotel_inventory_2023_Q3.pdf,2023,Q3,Sarawak,501,26187
hotel_inventory_2023_Q3.pdf,2023,Q3,Selangor,444,32661
hotel_inventory_2023_Q3.pdf,2023,Q3,Terengganu,254,10863
hotel_inventory_2023_Q4.pdf,2023,Q4,Johor,548,35208
hotel_inventory_2023_Q4.pdf,2023,Q4,Kedah,330,19029
hotel_inventory_2023_Q4.pdf,2023,Q4,Kelantan,169,6269
hotel_inventory_2023_Q4.pdf,2023,Q4,Kuala Lumpur,448,60872
hotel_inventory_2023_Q4.pdf,2023,Q4,Labuan,49,2272
hotel_inventory_2023_Q4.pdf,2023,Q4,Melaka,355,19961
hotel_inventory_2023_Q4.pdf,2023,Q4,Negeri Sembilan,161,10643
hotel_inventory_2023_Q4.pdf,2023,Q4,Pahang,503,33387
hotel_inventory_2023_Q4.pdf,2023,Q4,Perak,487,19763
hotel_inventory_2023_Q4.pdf,2023,Q4,Perlis,44,1444
hotel_inventory_2023_Q4.pdf,2023,Q4,Pulau Pinang,364,25543
hotel_inventory_2023_Q4.pdf,2023,Q4,Putrajaya,12,2508
hotel_inventory_2023_Q4.pdf,2023,Q4,Sabah,532,26706
hotel_inventory_2023_Q4.pdf,2023,Q4,Sarawak,503,26592
hotel_inventory_2023_Q4.pdf,2023,Q4,Selangor,444,32656
hotel_inventory_2023_Q4.pdf,2023,Q4,Terengganu,255,10927
hotel_inventory_2024_Q1.pdf,2024,Q1,Johor,547,35295
hotel_inventory_2024_Q1.pdf,2024,Q1,Kedah,330,19029
hotel_inventory_2024_Q1.pdf,2024,Q1,Kelantan,169,6269
hotel_inventory_2024_Q1.pdf,2024,Q1,Kuala Lumpur,451,61357
hotel_inventory_2024_Q1.pdf,2024,Q1,Labuan,49,2272
hotel_inventory_2024_Q1.pdf,2024,Q1,Melaka,356,20174
hotel_inventory_2024_Q1.pdf,2024,Q1,Negeri Sembilan,160,10643
hotel_inventory_2024_Q1.pdf,2024,Q1,Pahang,503,33387
hotel_inventory_2024_Q1.pdf,2024,Q1,Perak,487,19763
hotel_inventory_2024_Q1.pdf,2024,Q1,Perlis,44,1448
hotel_inventory_2024_Q1.pdf,2024,Q1,Pulau Pinang,372,26193
hotel_inventory_2024_Q1.pdf,2024,Q1,Putrajaya,12,2508
hotel_inventory_2024_Q1.pdf,2024,Q1,Sabah,534,27150
