source_file,year,month,arrival_type,origin_market,arrivals_count
2014_excursionist_arrivals_annual.pdf,2014,annual,excursionist,Brunei,1757
2014_excursionist_arrivals_annual.pdf,2014,annual,excursionist,Indonesia,4861
2014_excursionist_arrivals_annual.pdf,2014,annual,excursionist,Philippines,1441
2014_excursionist_arrivals_annual.pdf,2014,annual,excursionist,Singapore,67418
2014_excursionist_arrivals_annual.pdf,2014,annual,excursionist,Thailand,1148
2014_excursionist_arrivals_annual.pdf,2014,annual,excursionist,China,5776
2014_excursionist_arrivals_annual.pdf,2014,annual,excursionist,Japan,886
2014_excursionist_arrivals_annual.pdf,2014,annual,excursionist,India,3459
2015_excursionist_arrivals_annual.pdf,2015,annual,excursionist,Brunei,2858
2015_excursionist_arrivals_annual.pdf,2015,annual,excursionist,Indonesia,1158
2015_excursionist_arrivals_annual.pdf,2015,annual,excursionist,Philippines,623
2015_excursionist_arrivals_annual.pdf,2015,annual,excursionist,Singapore,27096
2015_excursionist_arrivals_annual.pdf,2015,annual,excursionist,Thailand,1245
2015_excursionist_arrivals_annual.pdf,2015,annual,excursionist,China,4264
2015_excursionist_arrivals_annual.pdf,2015,annual,excursionist,Japan,624
2015_excursionist_arrivals_annual.pdf,2015,annual,excursionist,India,1332
2016_excursionist_arrivals_annual.pdf,2016,annual,excursionist,Brunei,20215
2016_excursionist_arrivals_annual.pdf,2016,annual,excursionist,Indonesia,28894
2016_excursionist_arrivals_annual.pdf,2016,annual,excursionist,Philippines,10279
2016_excursionist_arrivals_annual.pdf,2016,annual,excursionist,Singapore,489103
2016_excursionist_arrivals_annual.pdf,2016,annual,excursionist,Thailand,22345
2016_excursionist_arrivals_annual.pdf,2016,annual,excursionist,China,17911
2016_excursionist_arrivals_annual.pdf,2016,annual,excursionist,Japan,7475
2016_excursionist_arrivals_annual.pdf,2016,annual,excursionist,India,9622
2017_excursionist_arrivals_annual.pdf,2017,annual,excursionist,Brunei,55729
