state,domestic_visitors_2024_000,domestic_visitors_2023_000,overnight_tourists_2024_000,population_2024_000,median_household_income_2024_rm,mean_household_income_2024_rm,poverty_rate_2024_pct,gini_2024,hotels_2023,hotel_rooms_2023,visitor_growth_2024_pct,annual_visitors_per_resident,annual_overnight_tourists_per_room,tourism_pressure_proxy_score,spare_capacity_proxy_score,community_opportunity_proxy_score,redistribution_potential_proxy_score
Sabah,20592,16080,6081.5,3742.0,4890,6498,17.7,0.405,532,26706,28.059701492537314,5.502939604489578,227.7203624653636,33.333333333333336,66.66666666666666,94.66666666666667,79.26666666666667
Sarawak,19626,17901,5701.0,2517.5,5504,6947,8.4,0.361,503,26592,9.636333165744926,7.795829195630586,214.38778580024066,26.666666666666668,73.33333333333333,74.0,73.63333333333334
Kedah,14651,13444,6854.4,2217.1,4895,5793,8.4,0.334,330,19029,8.977982743231184,6.6081818591854224,360.2081034210941,41.333333333333336,58.666666666666664,82.0,69.16666666666666
Kelantan,10514,7549,5863.8,1887.9,4083,5265,11.5,0.356,169,6269,39.276725394091926,5.569150908416759,935.3644919444888,69.33333333333334,30.666666666666657,96.0,60.06666666666666
Johor,17138,15805,9481.1,4184.4,7712,9484,2.5,0.348,548,35208,8.434039860803534,4.095688748685594,269.2882299477391,16.0,84.0,27.999999999999996,58.8
W.P. Labuan,450,331,194.1,100.8,7383,8555,2.0,0.327,49,2272,35.95166163141994,4.464285714285714,85.43133802816901,20.000000000000004,80.0,29.333333333333336,57.2
Perak,21776,17108,10209.0,2569.4,4687,6173,6.9,0.298,487,19763,27.285480476969838,8.47513038063361,516.5713707433082,64.0,36.0,81.33333333333333,56.400000000000006
Pahang,20174,16456,9525.8,1667.7,4975,6066,5.9,0.319,503,33387,22.593582887700524,12.09689992204833,285.3146434240872,54.666666666666664,45.333333333333336,66.66666666666666,54.93333333333334
Pulau Pinang,16605,13128,4766.0,1800.5,7386,9152,1.9,0.311,364,25543,26.485374771480807,9.222438211607887,186.5873233371178,38.66666666666667,61.33333333333333,22.66666666666667,43.93333333333334
Terengganu,14461,11761,4918.4,1231.5,6627,7627,5.8,0.263,255,10927,22.9572315279313,11.742590336987414,450.11439553399833,65.33333333333333,34.66666666666667,54.66666666666667,43.66666666666667
Negeri Sembilan,17785,14959,5987.5,1239.5,5591,7305,4.0,0.343,161,10643,18.891637141520157,14.348527632109722,562.5763412571644,73.33333333333334,26.666666666666657,53.333333333333336,38.666666666666664
Selangor,34461,27579,9574.4,7362.7,10726,13296,0.9,0.332,444,32656,24.95376917219623,4.680484061553506,293.18961293483585,37.33333333333334,62.66666666666666,9.333333333333332,38.66666666666666
W.P. Kuala Lumpur,26983,22233,6216.3,2067.5,10802,13985,1.0,0.375,448,60872,21.364638150497008,13.051027811366385,102.12084373767907,40.0,60.0,8.0,36.6
Perlis,3225,1951,1262.0,296.8,4950,5996,3.6,0.334,44,1444,65.29984623270117,10.865902964959568,873.9612188365651,81.33333333333334,18.666666666666657,57.33333333333333,36.06666666666666
Melaka,19128,15559,6158.4,1046.7,6891,8686,3.0,0.337,355,19961,22.93849219101485,18.27457724276297,308.5216171534492,69.33333333333334,30.666666666666657,40.0,34.86666666666666
W.P. Putrajaya,2557,1900,651.6,120.3,10769,13846,0.2,0.324,12,2508,34.57894736842104,21.255195344970907,259.8086124401914,69.33333333333333,30.66666666666667,2.6666666666666687,18.06666666666667
