page_number,report_page,dashboard_section,audience,period_type,selected_period,year,compare_to_year,market,metric_group,metric_name,raw_powerbi_metric,spending_category,value_display,value_numeric,value_rm_million,unit,notes,scraped_at
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2019,,Overall,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,89.01K,89.01,89010,RM million,Scraped from full year overview column chart.,2026-09-11T09:20:45.438Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2023,,Overall,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,74.29K,74.29,74290,RM million,Scraped from full year overview column chart.,2026-09-11T09:20:45.438Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2024,,Overall,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,106.78K,106.78,106780,RM million,Scraped from full year overview column chart.,2026-09-11T09:20:45.438Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2019,,Australia,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,1758.40,1758.4,1758.4,RM million,Scraped from full year overview column chart.,2026-09-11T09:20:46.605Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2023,,Australia,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,2114.36,2114.36,2114.36,RM million,Scraped from full year overview column chart.,2026-09-11T09:20:46.605Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2024,,Australia,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,2488.20,2488.2,2488.2,RM million,Scraped from full year overview column chart.,2026-09-11T09:20:46.605Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2019,,Belgium,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,90.19,90.19,90.19,RM million,Scraped from full year overview column chart.,2026-09-11T09:20:47.734Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2023,,Belgium,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,90.09,90.09,90.09,RM million,Scraped from full year overview column chart.,2026-09-11T09:20:47.734Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2024,,Belgium,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,134.78,134.78,134.78,RM million,Scraped from full year overview column chart.,2026-09-11T09:20:47.734Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2019,,Brunei Darussalam,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,2991.14,2991.14,2991.14,RM million,Scraped from full year overview column chart.,2026-09-11T09:20:48.875Z
